Distance,Log_Entropy
202.0,0.54234
212.0,0.53937
232.0,0.53294
262.0,0.52422
312.0,0.51775
362.0,0.51359
422.0,0.51664
492.0,0.52211
562.0,0.53341
622.0,0.5475
682.0,0.56581
644.0,0.5489
594.0,0.54114
544.0,0.53133
484.0,0.52509
424.0,0.51608
364.0,0.51285
294.0,0.51946
234.0,0.53101
224.0,0.53696
294.0,0.51938
364.0,0.51235
424.0,0.51519
484.0,0.52412
544.0,0.53052
604.0,0.54329
654.0,0.55361
682.0,0.56571
632.0,0.54881
582.0,0.53574
532.0,0.52728
482.0,0.51885
432.0,0.51506
382.0,0.51695
322.0,0.51573
272.0,0.52243
212.0,0.53871
236.0,0.52968
296.0,0.5168
356.0,0.51479
416.0,0.51485
476.0,0.52073
536.0,0.5318
596.0,0.54225
656.0,0.55639
680.0,0.56257
620.0,0.54441
560.0,0.53268
510.0,0.5274
460.0,0.52023
400.0,0.51416
340.0,0.51584
290.0,0.51927
230.0,0.53404
228.0,0.53554
288.0,0.51861
348.0,0.51427
408.0,0.5157
458.0,0.51686
518.0,0.52528
568.0,0.53529
618.0,0.54852
678.0,0.56324
658.0,0.5557
608.0,0.54227
558.0,0.53471
508.0,0.52539
458.0,0.51777
408.0,0.51556
348.0,0.51395
298.0,0.51965
248.0,0.52798
210.0,0.5401
260.0,0.52934
330.0,0.51497
390.0,0.51514
450.0,0.51669
510.0,0.52523
560.0,0.5307
620.0,0.5454
670.0,0.55747
666.0,0.55981
606.0,0.54161
546.0,0.53099
496.0,0.52279
446.0,0.51784
396.0,0.5143
336.0,0.51418
276.0,0.52125
226.0,0.53494
232.0,0.53123
292.0,0.5186
342.0,0.51366
392.0,0.51649
452.0,0.51736
502.0,0.52527
562.0,0.53536
612.0,0.5439
662.0,0.55769
674.0,0.56289
624.0,0.54941
574.0,0.53726
514.0,0.52858
464.0,0.51838
414.0,0.51799
364.0,0.51355
304.0,0.51956
244.0,0.52852
214.0,0.54187
274.0,0.52254
334.0,0.51606
394.0,0.51317
454.0,0.52029
504.0,0.52437
554.0,0.52927
604.0,0.53989
664.0,0.55887
672.0,0.55843
622.0,0.54724
572.0,0.5376
522.0,0.52478
472.0,0.51913
422.0,0.51811
372.0,0.51344
322.0,0.51741
262.0,0.52513
202.0,0.54646
256.0,0.52411
316.0,0.51674
376.0,0.5134
436.0,0.51544
496.0,0.51951
546.0,0.53399
606.0,0.54468
656.0,0.55744
680.0,0.56107
630.0,0.55214
580.0,0.53784
530.0,0.52686
480.0,0.51906
430.0,0.51631
370.0,0.51467
320.0,0.51294
270.0,0.52502
210.0,0.54134
238.0,0.52996
288.0,0.52073
348.0,0.5147
408.0,0.51589
468.0,0.52229
528.0,0.52794
578.0,0.53616
628.0,0.54641
678.0,0.56285
658.0,0.5585
608.0,0.54465
558.0,0.53377
508.0,0.52539
448.0,0.51783
398.0,0.51381
338.0,0.51533
278.0,0.5218
228.0,0.53442
230.0,0.53129
290.0,0.51675
340.0,0.51624
400.0,0.51643
450.0,0.51923
510.0,0.52314
570.0,0.53602
620.0,0.54607
670.0,0.56015
666.0,0.55809
616.0,0.54302
556.0,0.53224
506.0,0.52386
456.0,0.51684
406.0,0.51707
356.0,0.51714
296.0,0.51754
236.0,0.5288
212.0,0.53984
272.0,0.52084
332.0,0.51259
392.0,0.51436
462.0,0.52005
522.0,0.5236
582.0,0.53436
642.0,0.55058
692.0,0.56795
644.0,0.5526
594.0,0.54132
544.0,0.53328
494.0,0.52108
444.0,0.51794
394.0,0.5184
334.0,0.51325
284.0,0.51976
224.0,0.5377
234.0,0.53442
294.0,0.519
354.0,0.51325
414.0,0.51408
464.0,0.51825
524.0,0.52507
574.0,0.53432
634.0,0.5502
692.0,0.56667
642.0,0.55077
592.0,0.5393
542.0,0.53104
492.0,0.52553
432.0,0.51581
372.0,0.51273
312.0,0.51524
252.0,0.52331
206.0,0.5428
266.0,0.52206
326.0,0.51555
386.0,0.51766
436.0,0.51658
486.0,0.52446
546.0,0.53226
606.0,0.54499
656.0,0.55637
680.0,0.56356
630.0,0.54735
580.0,0.53429
530.0,0.52983
480.0,0.52253
430.0,0.51471
370.0,0.51277
320.0,0.51642
260.0,0.52266
210.0,0.54275
248.0,0.5276
308.0,0.51657
358.0,0.51484
418.0,0.51782
478.0,0.51863
538.0,0.53131
598.0,0.54052
658.0,0.55436
678.0,0.56349
628.0,0.54425
578.0,0.53483
528.0,0.52733
468.0,0.52041
418.0,0.51565
368.0,0.51256
308.0,0.51294
248.0,0.52955
210.0,0.54227
280.0,0.51925
340.0,0.5135
400.0,0.51757
460.0,0.52044
520.0,0.52397
580.0,0.53566
630.0,0.5467
680.0,0.56121
656.0,0.55479
606.0,0.54298
556.0,0.53197
506.0,0.52521
456.0,0.51967
396.0,0.5153
336.0,0.51239
276.0,0.52095
216.0,0.54116
242.0,0.5296
302.0,0.51658
362.0,0.51472
422.0,0.51627
472.0,0.51686
532.0,0.5294
592.0,0.53581
642.0,0.55272
684.0,0.56411
634.0,0.5487
584.0,0.538
534.0,0.52747
484.0,0.52071
424.0,0.51624
374.0,0.51535
324.0,0.5139
264.0,0.52313
204.0,0.54421
254.0,0.52658
314.0,0.51733
374.0,0.51479
424.0,0.51667
484.0,0.51963
534.0,0.52712
594.0,0.54183
654.0,0.5565
682.0,0.56384
672.0,0.56497
662.0,0.55701
642.0,0.55356
612.0,0.54235
572.0,0.53656
522.0,0.52774
472.0,0.52115
412.0,0.51828
362.0,0.51293
302.0,0.51643
242.0,0.52927
216.0,0.53766
276.0,0.51964
336.0,0.5151
396.0,0.51471
446.0,0.51632
506.0,0.52514
566.0,0.53368
616.0,0.54556
676.0,0.56169
650.0,0.55529
600.0,0.54329
550.0,0.53358
490.0,0.5233
440.0,0.51883
390.0,0.51474
340.0,0.51457
280.0,0.52116
230.0,0.5343
218.0,0.5401
268.0,0.52589
328.0,0.51567
388.0,0.5128
438.0,0.51503
498.0,0.52675
548.0,0.53229
608.0,0.54369
658.0,0.55488
678.0,0.56006
628.0,0.54524
578.0,0.53813
528.0,0.52953
478.0,0.51984
428.0,0.51299
368.0,0.51592
318.0,0.51576
268.0,0.52229
208.0,0.5426
260.0,0.52464
320.0,0.51796
380.0,0.51207
440.0,0.51823
500.0,0.52736
550.0,0.53202
610.0,0.54373
660.0,0.5549
666.0,0.56001
616.0,0.54353
566.0,0.53268
516.0,0.52363
466.0,0.51831
416.0,0.51824
366.0,0.51241
316.0,0.51768
256.0,0.52757
202.0,0.54667
252.0,0.52932
312.0,0.51718
362.0,0.51506
422.0,0.514
482.0,0.52373
532.0,0.52874
592.0,0.53928
652.0,0.55445
674.0,0.56374
614.0,0.54395
554.0,0.53279
494.0,0.5238
444.0,0.51804
394.0,0.5147
334.0,0.5148
274.0,0.51858
224.0,0.5365
234.0,0.53149
294.0,0.51733
344.0,0.51455
404.0,0.51452
464.0,0.52038
524.0,0.52395
584.0,0.53876
644.0,0.5517
692.0,0.568
642.0,0.55203
592.0,0.53841
542.0,0.52966
492.0,0.51853
442.0,0.51811
392.0,0.51551
342.0,0.51581
282.0,0.52083
222.0,0.535
246.0,0.52949
316.0,0.51756
376.0,0.51653
436.0,0.5149
496.0,0.52519
546.0,0.52909
606.0,0.54511
666.0,0.56198
660.0,0.55816
600.0,0.53984
550.0,0.53135
500.0,0.52347
450.0,0.51917
390.0,0.51431
340.0,0.5144
290.0,0.51876
230.0,0.53334
218.0,0.53958
278.0,0.51829
338.0,0.51464
388.0,0.51778
448.0,0.51756
498.0,0.52168
558.0,0.53505
608.0,0.54163
658.0,0.5588
678.0,0.56406
628.0,0.54645
578.0,0.53667
518.0,0.52555
458.0,0.51763
408.0,0.5131
358.0,0.5164
298.0,0.51605
248.0,0.52554
210.0,0.54045
270.0,0.52449
320.0,0.51317
380.0,0.5144
410.0,0.51439
420.0,0.51688
430.0,0.51561
460.0,0.51987
490.0,0.52182
530.0,0.5292
580.0,0.53603
630.0,0.54661
680.0,0.56138
656.0,0.5582
616.0,0.54497
576.0,0.53915
526.0,0.52736
476.0,0.52177
416.0,0.51659
356.0,0.51587
296.0,0.51958
246.0,0.52887
202.0,0.54837
262.0,0.52412
322.0,0.51568
372.0,0.51813
422.0,0.51672
482.0,0.52219
542.0,0.53196
592.0,0.53922
652.0,0.55529
684.0,0.56268
634.0,0.54881
584.0,0.54082
534.0,0.52898
484.0,0.51939
434.0,0.51514
374.0,0.51034
314.0,0.51422
254.0,0.52657
204.0,0.54708
254.0,0.52536
314.0,0.51428
364.0,0.51379
424.0,0.51463
484.0,0.51901
544.0,0.53043
604.0,0.53715
664.0,0.55814
662.0,0.55813
602.0,0.54422
552.0,0.53408
502.0,0.52574
452.0,0.51766
402.0,0.51728
352.0,0.51764
292.0,0.51836
242.0,0.53013
216.0,0.54102
276.0,0.51867
336.0,0.5148
396.0,0.51353
456.0,0.52183
506.0,0.52387
556.0,0.53052
606.0,0.5399
656.0,0.55568
670.0,0.55824
620.0,0.54734
570.0,0.5377
520.0,0.52612
470.0,0.51699
420.0,0.5177
360.0,0.5182
300.0,0.51879
240.0,0.52606
218.0,0.53877
278.0,0.51745
338.0,0.51496
388.0,0.5143
448.0,0.51924
508.0,0.52353
558.0,0.5313
618.0,0.54563
678.0,0.56372
658.0,0.55691
608.0,0.54095
558.0,0.53412
508.0,0.52677
458.0,0.51909
408.0,0.51508
358.0,0.51277
298.0,0.51554
238.0,0.53027
210.0,0.54312
270.0,0.5225
330.0,0.5152
390.0,0.5165
450.0,0.51599
510.0,0.52205
570.0,0.53112
630.0,0.55006
690.0,0.56614
636.0,0.55204
586.0,0.53739
536.0,0.52997
486.0,0.52115
426.0,0.51585
376.0,0.5129
316.0,0.51631
256.0,0.52632
202.0,0.5474
262.0,0.52287
312.0,0.51203
372.0,0.51517
422.0,0.51543
472.0,0.52091
532.0,0.53071
582.0,0.53755
642.0,0.55224
692.0,0.56612
644.0,0.5488
584.0,0.53976
534.0,0.52988
484.0,0.52026
424.0,0.51531
364.0,0.50987
314.0,0.51875
244.0,0.52846
214.0,0.53939
264.0,0.52459
324.0,0.51626
384.0,0.51613
434.0,0.51723
494.0,0.52248
554.0,0.53233
604.0,0.54081
654.0,0.55475
672.0,0.56062
622.0,0.5494
562.0,0.5313
512.0,0.52441
462.0,0.51926
412.0,0.51544
362.0,0.51346
302.0,0.51479
252.0,0.52932
202.0,0.54706
256.0,0.5229
316.0,0.51577
376.0,0.51509
406.0,0.51452
416.0,0.51668
426.0,0.51616
446.0,0.52041
486.0,0.52285
526.0,0.52653
576.0,0.53607
616.0,0.54402
666.0,0.5616
670.0,0.55788
620.0,0.54566
570.0,0.53415
520.0,0.5281
470.0,0.52287
420.0,0.51425
370.0,0.51636
310.0,0.51513
250.0,0.5237
208.0,0.54365
268.0,0.5249
318.0,0.51592
368.0,0.5133
428.0,0.51605
488.0,0.51955
548.0,0.53028
608.0,0.5437
658.0,0.55517
678.0,0.56206
628.0,0.54949
578.0,0.53765
528.0,0.52741
478.0,0.52128
428.0,0.51374
378.0,0.51273
328.0,0.5143
268.0,0.52142
208.0,0.54129
240.0,0.5288
300.0,0.51789
360.0,0.51545
410.0,0.5157
470.0,0.51863
530.0,0.52882
580.0,0.53581
640.0,0.55268
686.0,0.56443
636.0,0.54965
586.0,0.53648
536.0,0.53077
476.0,0.51957
426.0,0.51691
376.0,0.51285
326.0,0.51296
316.0,0.51629
306.0,0.51721
296.0,0.51946
276.0,0.52284
236.0,0.52908
202.0,0.54482
252.0,0.52931
302.0,0.51744
352.0,0.51306
412.0,0.5151
462.0,0.51903
522.0,0.52633
582.0,0.53514
632.0,0.54898
682.0,0.56424
654.0,0.5574
604.0,0.54333
554.0,0.53114
504.0,0.52317
454.0,0.51829
394.0,0.51596
344.0,0.51328
284.0,0.52012
234.0,0.53154
214.0,0.54168
274.0,0.52393
334.0,0.51471
394.0,0.51187
464.0,0.51937
524.0,0.52832
584.0,0.53875
644.0,0.55537
692.0,0.56751
642.0,0.54985
592.0,0.54035
542.0,0.52946
492.0,0.52145
442.0,0.51635
382.0,0.51409
332.0,0.51737
282.0,0.5198
222.0,0.53367
236.0,0.52992
286.0,0.52002
346.0,0.51589
406.0,0.51712
456.0,0.51814
516.0,0.52553
566.0,0.53437
616.0,0.54406
676.0,0.55892
660.0,0.55621
610.0,0.5434
550.0,0.52881
500.0,0.5243
450.0,0.51636
400.0,0.51658
340.0,0.51481
280.0,0.51912
220.0,0.53713
238.0,0.52848
288.0,0.52142
348.0,0.51741
408.0,0.51412
468.0,0.51738
528.0,0.52935
598.0,0.54193
658.0,0.55656
678.0,0.56423
618.0,0.54593
568.0,0.53476
518.0,0.52592
468.0,0.51888
418.0,0.51632
358.0,0.51624
308.0,0.51878
258.0,0.52473
200.0,0.54636
260.0,0.52604
320.0,0.51421
380.0,0.51482
440.0,0.51856
490.0,0.52301
550.0,0.53128
610.0,0.54298
670.0,0.55918
666.0,0.55893
606.0,0.54332
556.0,0.53217
506.0,0.5202
456.0,0.51661
406.0,0.51301
346.0,0.51197
286.0,0.51914
226.0,0.53527
232.0,0.53166
292.0,0.52023
352.0,0.51381
412.0,0.51287
462.0,0.51873
512.0,0.52461
572.0,0.53675
622.0,0.54769
672.0,0.55785
664.0,0.55678
614.0,0.54326
564.0,0.53321
514.0,0.53084
464.0,0.51909
414.0,0.51657
364.0,0.51602
304.0,0.51661
244.0,0.52624
214.0,0.53917
264.0,0.52378
324.0,0.51629
384.0,0.51703
444.0,0.51931
504.0,0.52405
554.0,0.5332
604.0,0.54113
654.0,0.55492
682.0,0.56514
622.0,0.54869
572.0,0.53604
522.0,0.52569
472.0,0.51893
422.0,0.51317
372.0,0.51449
312.0,0.51998
252.0,0.52485
202.0,0.54668
256.0,0.52301
306.0,0.51774
356.0,0.51461
416.0,0.51434
476.0,0.52233
536.0,0.52689
596.0,0.5399
656.0,0.55585
680.0,0.56365
630.0,0.5498
580.0,0.53652
530.0,0.52926
480.0,0.5214
420.0,0.51515
370.0,0.51432
320.0,0.51724
260.0,0.52309
210.0,0.5423
248.0,0.53015
308.0,0.51324
368.0,0.51387
428.0,0.51567
478.0,0.52123
508.0,0.52493
518.0,0.52503
528.0,0.52777
538.0,0.52875
548.0,0.52973
568.0,0.53428
598.0,0.54221
648.0,0.55339
688.0,0.56436
638.0,0.55107
588.0,0.54235
538.0,0.5283
478.0,0.5206
428.0,0.51671
378.0,0.51266
318.0,0.51922
258.0,0.52504
208.0,0.54251
250.0,0.5267
310.0,0.5153
360.0,0.51212
420.0,0.51528
470.0,0.52247
520.0,0.52621
580.0,0.53761
630.0,0.54824
680.0,0.563
656.0,0.55584
606.0,0.5416
556.0,0.53439
506.0,0.52355
456.0,0.51924
406.0,0.51299
356.0,0.5165
306.0,0.51978
246.0,0.52547
212.0,0.54166
272.0,0.52402
332.0,0.51715
392.0,0.51605
452.0,0.52042
512.0,0.52426
562.0,0.53202
612.0,0.54672
662.0,0.55713
674.0,0.56082
634.0,0.54843
584.0,0.53791
534.0,0.52858
484.0,0.51858
434.0,0.51462
374.0,0.51361
324.0,0.51581
274.0,0.52116
214.0,0.54097
234.0,0.52958
294.0,0.51867
344.0,0.5147
404.0,0.515
464.0,0.51718
514.0,0.52747
564.0,0.53504
614.0,0.54376
664.0,0.55871
672.0,0.55892
622.0,0.54449
562.0,0.53423
512.0,0.52546
462.0,0.51852
412.0,0.51484
362.0,0.5125
302.0,0.51869
252.0,0.52691
206.0,0.54386
256.0,0.52553
306.0,0.52078
366.0,0.51662
416.0,0.51608
466.0,0.52052
516.0,0.52526
566.0,0.53288
626.0,0.54657
676.0,0.56154
660.0,0.55501
620.0,0.54471
570.0,0.5358
520.0,0.52679
480.0,0.52205
420.0,0.51842
370.0,0.51439
320.0,0.51605
270.0,0.52013
220.0,0.53842
238.0,0.52931
298.0,0.51907
358.0,0.51341
428.0,0.5164
488.0,0.52178
538.0,0.53041
588.0,0.53707
648.0,0.55383
688.0,0.56898
638.0,0.55112
588.0,0.53783
538.0,0.52765
488.0,0.52324
438.0,0.5169
388.0,0.51278
338.0,0.51385
288.0,0.5204
258.0,0.52208
248.0,0.52784
238.0,0.53083
228.0,0.53489
200.0,0.54629
240.0,0.52883
290.0,0.5204
340.0,0.51535
400.0,0.51118
450.0,0.51736
500.0,0.5266
550.0,0.53272
600.0,0.53942
650.0,0.55618
686.0,0.56616
636.0,0.55302
586.0,0.53912
536.0,0.52586
486.0,0.52223
436.0,0.51447
386.0,0.51698
326.0,0.51555
276.0,0.5223
216.0,0.54193
232.0,0.53381
282.0,0.51919
342.0,0.51422
392.0,0.51536
452.0,0.51778
502.0,0.5236
562.0,0.53206
612.0,0.54495
662.0,0.55571
674.0,0.56083
614.0,0.54335
564.0,0.53467
514.0,0.52353
464.0,0.52048
404.0,0.51616
354.0,0.51511
294.0,0.51626
234.0,0.53219
214.0,0.53692
274.0,0.51867
334.0,0.51441
384.0,0.51357
444.0,0.51743
504.0,0.52308
554.0,0.53025
604.0,0.54152
654.0,0.55591
682.0,0.56216
672.0,0.56072
662.0,0.55832
652.0,0.55065
642.0,0.55202
632.0,0.54783
622.0,0.54822
612.0,0.54638
602.0,0.54344
592.0,0.5401
582.0,0.5384
552.0,0.53143
522.0,0.5252
472.0,0.51751
422.0,0.51798
382.0,0.51386
332.0,0.51392
282.0,0.52037
232.0,0.52948
226.0,0.5364
276.0,0.52069
336.0,0.51559
386.0,0.51637
446.0,0.51297
496.0,0.5256
546.0,0.53047
606.0,0.54
656.0,0.55254
690.0,0.5674
680.0,0.56214
670.0,0.55859
660.0,0.55595
650.0,0.55058
640.0,0.55082
630.0,0.55028
620.0,0.54607
610.0,0.54399
600.0,0.54288
590.0,0.53596
580.0,0.53772
570.0,0.53474
560.0,0.53153
550.0,0.53503
540.0,0.53035
530.0,0.5292
520.0,0.52863
510.0,0.5235
